,author,content,description,publishedAt,source.id,source.name,title,url,urlToImage,published_date,published_time
10,Reuters Editorial,"(Reuters) - European shares tracked Wall Street and Asian markets into the red on Thursday after the U.S. Federal Reserve dampened hopes of future cuts in U.S. interest rates, while Shell’s (RDSa.L) lowest profit in more than two years knocked 4% off the oil … [+918 chars]","European shares tracked Wall Street and Asian markets into the red on Thursday after the U.S. Federal Reserve dampened hopes of future cuts in U.S. interest rates, while Shell's lowest profit in more than two years knocked 4% off the oil major's value.",2019-08-01T07:31:57Z,reuters,Reuters,"European stocks down after Fed disappoints, Shell falls",https://www.reuters.com/article/us-europe-stocks-idUSKCN1UR3T7,https://s3.reutersmedia.net/resources/r/?m=02&d=20190801&t=2&i=1414178701&w=1200&r=LYNXNPEF702HL,2019-08-01,07:31:57
11,Alexander Hübner,"MUNICH (Reuters) - Germany’s TÜV SÜD has pulled out of conducting safety assessments of dams after the collapse of a Brazilian dam it had vetted killed almost 250 people in January, the industrial inspection firm’s chief executive told Reuters. 
The collapse… [+2464 chars]","Germany's TÜV SÜD has pulled out of conducting safety assessments of dams after the collapse of a Brazilian dam it had vetted killed almost 250 people in January, the industrial inspection firm's chief executive told Reuters.",2019-08-19T14:35:30Z,reuters,Reuters,TÜV SÜD pulls out of dam safety checks after Brazil disaster,https://www.reuters.com/article/us-vale-sa-disaster-tuvsud-idUSKCN1V91AR,https://s2.reutersmedia.net/resources/r/?m=02&d=20190819&t=2&i=1420547843&w=1200&r=LYNXNPEF7I0Z3,2019-08-19,14:35:30
12,Reuters Editorial,"BEIJING (Reuters) - Profits earned by China’s industrial firms contracted in June after a brief gain the previous month, fuelling concern that a slowdown in manufacturing from a bruising trade war will drag on economic growth. 
China’s industrial profits hav… [+2867 chars]","Profits earned by China's industrial firms contracted in June after a brief gain the previous month, fuelling concern that a slowdown in manufacturing from a bruising trade war will drag on economic growth.",2019-07-27T02:12:44Z,reuters,Reuters,"UPDATE 1-China's industrial profits fall in June, add to fears of slowdown",https://www.reuters.com/article/us-china-economy-industrial-profits-idUSKCN1UM029,https://s3.reutersmedia.net/resources/r/?m=02&d=20190727&t=2&i=1412442624&w=1200&r=LYNXNPEF6Q00M,2019-07-27,02:12:44
13,Reuters Editorial,"(Repeats item issued on Saturday) 
BEIJING, July 27 (Reuters) - Profits earned by China’s industrial firms contracted in June after a brief gain the previous month, fuelling concern that a slowdown in manufacturing from a bruising trade war will drag on econ… [+2947 chars]","Profits earned by China's industrial firms contracted in June after a brief gain the previous month, fuelling concern that a slowdown in manufacturing from a bruising trade war will drag on economic growth.",2019-07-28T23:00:00Z,reuters,Reuters,"RPT-UPDATE 1-China's industrial profits fall in June, add to fears of slowdown",https://www.reuters.com/article/china-economy-industrial-profits-idUSL4N24S03X,https://s4.reutersmedia.net/resources_v2/images/rcom-default.png,2019-07-28,23:00:00
14,Reuters Editorial,"(Adds news items, futures) 
Aug 20 (Reuters) - Britain’s FTSE 100 index is expected to open 4 points higher at 7192.5 on Tuesday, according to financial bookmakers, with futures up 0.1% ahead of the cash market open. 
* FINABLR: United Arab Emirates-based p… [+2878 chars]","Britain's FTSE 100 index is expected to open 4 points higher at 7192.5 on Tuesday, according to financial bookmakers, with futures up 0.1% ahead of the cash market open.",2019-08-20T06:54:04Z,reuters,Reuters,UPDATE 1-UK Stocks-Factors to watch on Aug 20,https://www.reuters.com/article/britain-stocks-factors-idUSL4N25G1LF,https://s4.reutersmedia.net/resources_v2/images/rcom-default.png,2019-08-20,06:54:04
15,Susan Mathew,,"Latin American shares tanked on Monday, on
course to post their worst day in more than four months, as
heightening trade worries pushed China's yuan to its lowest in
more than a decade and sent global markets into a tailspin. 
    MSCI's index of Latin Americ…",2019-08-05T20:22:30Z,reuters,Reuters,"EMERGING MARKETS-Latam stocks, FX tumble as U.S.-China trade dispute intensifies",https://www.reuters.com/article/emerging-markets-latam-idUSL2N2511DL,https://s4.reutersmedia.net/resources_v2/images/rcom-default.png,2019-08-05,20:22:30
16,Sruthi Shankar,,"ever quarterly profit
    * Latin American currencies suffer worst day in 2019
    * Brazil's real weakens to lowest level in six weeks 

 (Updates prices, adds analyst comment)
    By Sruthi Shankar
    Aug 2 (Reuters) - Brazil's real hit a six-week low on
F…",2019-08-02T20:26:03Z,reuters,Reuters,EMERGING MARKETS-Brazil's real hits 6-week low as trade tensions intensify,https://www.reuters.com/article/emerging-markets-latam-idUSL2N24Y15V,https://s4.reutersmedia.net/resources_v2/images/rcom-default.png,2019-08-02,20:26:03
17,Andrew Galbraith,"* Onshore yuan weakens to lowest level since financial crisis 
* Offshore yuan hits lowest level on record 
* PBOC ties drop to trade, says China’s FX policy remains unchanged 
* Yuan weakness weighs on equities, A-shares hurt by sharp drop in Hang Seng 
… [+5595 chars]","China on Monday let the yuan tumble beyond the key 7-per-dollar level for the first time in more than a decade, in a sign Beijing might be willing to tolerate further currency weakness in the face of an escalating trade row with the United States.",2019-08-05T05:23:54Z,reuters,Reuters,WRAPUP 3-China lets yuan slide past key 7 level for first time in over decade as trade war intensifies,https://www.reuters.com/article/china-markets-idUSL8N25102Q,https://s4.reutersmedia.net/resources_v2/images/rcom-default.png,2019-08-05,05:23:54
18,Reuters Editorial,"To access a PDF version of this newsletter, please click here here
If you would like to receive this newsletter via email, please register at: here
FACTORS TO WATCH 
9:30 am: RBI deputy governors N.S. Vishwanathan and M.K. Jain at FIBAC 2019 in Mumbai. 
L… [+5502 chars]","To access a PDF version of this newsletter, please click here http://share.thomsonreuters.com/assets/newsletters/Indiamorning/MNC_IN_08202019.pdf",2019-08-20T03:19:17Z,reuters,Reuters,"Morning News Call - India, August 20",https://www.reuters.com/article/india-morningcall-idUSL4N25G0RS,https://s4.reutersmedia.net/resources_v2/images/rcom-default.png,2019-08-20,03:19:17
19,Sruthi Shankar,,"March 
    * Fed cuts rates by 25 basis points, further cuts uncertain
    * Trump's plan for fresh China tariffs jolt markets 

 (Recasts throughout, updates with closing prices)
    By Sruthi Shankar
    Aug 1 (Reuters) - Latin American currencies and stock…",2019-08-01T20:20:40Z,reuters,Reuters,EMERGING MARKETS-Latam markets slide as Trump hits China with new tariffs,https://www.reuters.com/article/emerging-markets-latam-idUSL2N24X17S,https://s4.reutersmedia.net/resources_v2/images/rcom-default.png,2019-08-01,20:20:40
20,Sruthi Shankar,,"Latin American currencies were set to end
a tumultuous week on a soft note on Friday as worries about the
U.S.-China trade dispute and global growth kept investors on
edge.
    The Brazilian real fell about 0.5%, giving back some
of Thursday's gains of more t…",2019-08-09T15:05:55Z,reuters,Reuters,EMERGING MARKETS-Latam markets in the red as trade worries heighten,https://www.reuters.com/article/emerging-markets-latam-idUSL2N2550M7,https://s4.reutersmedia.net/resources_v2/images/rcom-default.png,2019-08-09,15:05:55
21,Reuters Editorial,,"London nickel prices eased on
Friday, slipping from a 16-month high struck in the previous
session, after Indonesia's nickel miners association said it had
urged the government not to bring forward a ban on mineral ore
exports.
    The association's Secretary…",2019-08-09T05:30:48Z,reuters,Reuters,"METALS-London nickel retreats, but heads for best week since Nov 2017",https://www.reuters.com/article/global-metals-idUSL4N2551S7,https://s4.reutersmedia.net/resources_v2/images/rcom-default.png,2019-08-09,05:30:48
22,Muyu Xu,BEIJING/SINGAPORE (Reuters) - China’s demand for iron ore pellets and high-quality ore is expected to accelerate in 2020 as a result of Beijing’s push to shift dozens of steel mills to coastal regions in its battle to stop smog blanketing industrial cities. … [+5825 chars],China's demand for iron ore pellets and high-quality ore is expected to accelerate in 2020 as a result of Beijing's push to shift dozens of steel mills to coastal regions in its battle to stop smog blanketing industrial cities.,2019-08-20T05:30:44Z,reuters,Reuters,Pellet pivot: China develops taste for high-grade iron ore as coastal furnaces fire up,https://in.reuters.com/article/us-china-ironore-analysis-idINKCN1VA0CX,https://s2.reutersmedia.net/resources/r/?m=02&d=20190820&t=2&i=1420753508&w=1200&r=LYNXNPEF7J08G,2019-08-20,05:30:44
23,Aditya Soni,"(Reuters) - Anglo-Australian miner Rio Tinto on Thursday reported its biggest first-half profit since 2014, in-line with estimates, and declared a bumper dividend, on red-hot iron ore prices. 
The results signalled robust earnings for other Australian iron o… [+1868 chars]","Anglo-Australian miner Rio Tinto on Thursday reported its biggest first-half profit since 2014, in-line with estimates, and declared a bumper dividend, on red-hot iron ore prices.",2019-08-01T08:06:22Z,reuters,Reuters,Rio Tinto reports biggest first-half profit since 2014 on red-hot iron ore,https://in.reuters.com/article/rio-tinto-plc-results-idINKCN1UR3TZ,https://s2.reutersmedia.net/resources/r/?m=02&d=20190801&t=2&i=1414186364&w=1200&r=LYNXNPEF702JH,2019-08-01,08:06:22
24,Melanie Burton,"MELBOURNE (Reuters) - BHP Group, the world’s biggest miner, on Tuesday reported its largest annual profit in five years and posted record full-year dividends, boosted by a dramatic rally in prices for steelmaking ingredient iron ore. 
However, the dividend s… [+2963 chars]","BHP Group, the world's biggest miner, on Tuesday reported its largest annual profit in five years and posted record full-year dividends, boosted by a dramatic rally in prices for steelmaking ingredient iron ore.",2019-08-20T03:26:26Z,reuters,Reuters,"Mining giant BHP pays record dividend, but flags risks to global growth",https://in.reuters.com/article/bhp-group-au-results-idINKCN1VA07R,https://s4.reutersmedia.net/resources/r/?m=02&d=20190820&t=2&i=1420722773&w=1200&r=LYNXNPEF7J04S,2019-08-20,03:26:26
25,Barbara Lewis,LONDON (Reuters) - The head of the world’s biggest miner BHP (BHPB.L) (BHP.AX) said he will “stick up for globalization” and is more worried about the damage trade tensions are inflicting on the world economy than their impact on demand for the commodities BH… [+1477 chars],"The head of the world's biggest miner BHP said he will ""stick up for globalisation"" and is more worried about the damage trade tensions are inflicting on the world economy than their impact on demand for the commodities BHP produces.",2019-08-20T11:50:18Z,reuters,Reuters,BHP chief to 'stick up for globalisation' as trade tensions bite,https://in.reuters.com/article/us-bhp-results-trade-idINKCN1VA16R,https://s4.reutersmedia.net/resources/r/?m=02&d=20190820&t=2&i=1420849124&w=1200&r=LYNXNPEF7J0QV,2019-08-20,11:50:18
26,Reuters Editorial,"BEIJING (Reuters) - China’s monthly crude steel output fell for a second straight month in July, official data showed on Wednesday, as steel mills trimmed output amid heightened environmental measures and record raw material prices. 
The world’s top steelmak… [+2404 chars]","China's monthly crude steel output fell for a second straight month in July, official data showed on Wednesday, as steel mills trimmed output amid heightened environmental measures and record raw material prices.",2019-08-14T03:29:38Z,reuters,Reuters,"China's July steel output eases on environmental curbs, shrinking margins",https://in.reuters.com/article/china-economy-output-steel-idINKCN1V4088,https://s4.reutersmedia.net/resources_v2/images/rcom-default.png,2019-08-14,03:29:38
27,Derek Francis,"BENGALURU (Reuters) - Indian shares were little changed on Wednesday in the absence of major cues, in line with broader Asia, as investors were hopeful of monetary and fiscal stimulus from the U.S. Federal Reserve amid recession and trade war worries. 
The b… [+1246 chars]","Indian shares were little changed on Wednesday in the absence of major cues, in line with broader Asia, as investors were hopeful of monetary and fiscal stimulus from the U.S. Federal Reserve amid recession and trade war worries.",2019-08-21T05:30:20Z,reuters,Reuters,"Nifty, Sensex flat; all eyes on Fed seminar, G7 meet",https://in.reuters.com/article/india-sensex-nifty-stocks-idINKCN1VB0D7,https://s4.reutersmedia.net/resources/r/?m=02&d=20190821&t=2&i=1421094619&w=1200&r=LYNXNPEF7K0AS,2019-08-21,05:30:20
28,Muyu Xu,"BEIJING/SHANGHAI (Reuters) - Small steel mills in China are taking advantage of lax environmental enforcement to ramp up production ahead of bigger rivals, industry and government officials said, jeopardising anti-smog targets and defying industry consolidati… [+4053 chars]","Small steel mills in China are taking advantage of lax environmental enforcement to ramp up production ahead of bigger rivals, industry and government officials said, jeopardising anti-smog targets and defying industry consolidation.",2019-07-26T09:14:58Z,reuters,Reuters,China's steel minnows sidestep pollution rules to boost output,https://in.reuters.com/article/china-steel-pollution-idINKCN1UL10R,https://s2.reutersmedia.net/resources/r/?m=02&d=20190726&t=2&i=1412184252&w=1200&r=LYNXNPEF6P0S4,2019-07-26,09:14:58
29,Melanie Burton,"KWINANA, Australia (Reuters) - BHP Group will face a test of its ability to move beyond bulk mining over the coming year with a foray into specialty chemicals for the battery industry at its once struggling Nickel West division. 
The global miner said on Fri… [+4109 chars]",BHP Group will face a test of its ability to move beyond bulk mining over the coming year with a foray into specialty chemicals for the battery industry at its once struggling Nickel West division.,2019-08-02T10:23:21Z,reuters,Reuters,Electric ambition: BHP eyes EV market with speciality chemicals,https://in.reuters.com/article/bhp-batteries-electric-idINKCN1US16V,https://s4.reutersmedia.net/resources/r/?m=02&d=20190802&t=2&i=1414598529&w=1200&r=LYNXNPEF710RX,2019-08-02,10:23:21
30,Reuters Editorial,"BEIJING (Reuters) - China’s factory gate prices shrank for the first time in three years in July, stoking deflation worries and putting pressure on Beijing to deliver more stimulus as the economy sputters amid an intensifying trade war with the United States.… [+2570 chars]","China's factory gate prices shrank for the first time in three years in July, stoking deflation worries and putting pressure on Beijing to deliver more stimulus as the economy sputters amid an intensifying trade war with the United States.",2019-08-09T03:42:23Z,reuters,Reuters,"China's producer prices fall for first time in three years, add to deflation worries",https://in.reuters.com/article/china-economy-inflation-idINKCN1UZ0AJ,https://s4.reutersmedia.net/resources/r/?m=02&d=20190809&t=2&i=1417009415&w=1200&r=LYNXNPEF7805V,2019-08-09,03:42:23
31,Reuters Editorial,"BEIJING (Reuters) - Profits earned by China’s industrial firms contracted in June after a brief gain the previous month, fuelling concern that a slowdown in manufacturing from a bruising trade war will drag on economic growth. 
China’s industrial profits hav… [+2905 chars]","Profits earned by China's industrial firms contracted in June after a brief gain the previous month, fuelling concern that a slowdown in manufacturing from a bruising trade war will drag on economic growth.",2019-07-27T02:38:59Z,reuters,Reuters,"China's industrial profits fall in June, add to fears of slowdown",https://in.reuters.com/article/china-economy-industrial-profits-idINKCN1UM02J,https://s2.reutersmedia.net/resources/r/?m=02&d=20190727&t=2&i=1412448270&w=1200&r=LYNXNPEF6Q013,2019-07-27,02:38:59
32,Reuters Editorial,"BEIJING (Reuters) - China’s factory gate prices shrank for the first time in three years in July, stoking deflation worries and adding pressure on Beijing to deliver more stimulus as the economy sputters amid an intensifying trade war with the United States. … [+5607 chars]","China's factory gate prices shrank for the first time in three years in July, stoking deflation worries and adding pressure on Beijing to deliver more stimulus as the economy sputters amid an intensifying trade war with the United States.",2019-08-09T05:18:53Z,reuters,Reuters,"China producer prices fall for first time in 3 years, deflation worries resurface",https://in.reuters.com/article/us-china-economy-inflation-idINKCN1UZ0AD,https://s2.reutersmedia.net/resources/r/?m=02&d=20190809&t=2&i=1417033300&w=1200&r=LYNXNPEF780AD,2019-08-09,05:18:53
33,Andrew Galbraith,"SHANGHAI (Reuters) - China on Monday let the yuan tumble beyond the key 7-per-dollar level for the first time in more than a decade, in a sign Beijing might be willing to tolerate further currency weakness in the face of an escalating trade row with the Unite… [+5297 chars]","China on Monday let the yuan tumble beyond the key 7-per-dollar level for the first time in more than a decade, in a sign Beijing might be willing to tolerate further currency weakness in the face of an escalating trade row with the United States.",2019-08-05T04:26:25Z,reuters,Reuters,China lets yuan slump past seven per dollar for first time in over decade as trade war escalates,https://in.reuters.com/article/us-china-markets-idINKCN1UV061,https://s2.reutersmedia.net/resources/r/?m=02&d=20190805&t=2&i=1415502741&w=1200&r=LYNXNPEF7405B,2019-08-05,04:26:25
34,Gabriela Mello,SAO PAULO (Reuters) - Brazil’s securities regulator CVM said on Monday it has opened up an additional investigation into whether executives of iron ore miner Vale SA breached their fiduciary duties in relation to a January dam collapse which killed nearly 250… [+795 chars],Brazil's securities regulator CVM said on Monday it has opened up an additional investigation into whether executives of iron ore miner Vale SA breached their fiduciary duties in relation to a January dam collapse which killed nearly 250 people.,2019-08-19T22:28:50Z,reuters,Reuters,Brazil securities regulator ramps up Vale dam disaster probe,https://af.reuters.com/article/worldNews/idAFKCN1V91ZN,https://s4.reutersmedia.net/resources/r/?m=02&d=20190819&t=2&i=1420657425&w=1200&r=LYNXNPEF7I1HR,2019-08-19,22:28:50
35,Reuters Editorial,"JOHANNESBURG (Reuters) - South African miner Exxaro Resources on Thursday reported a 42% rise in half-year headline profit as income from equity investments offset lower core earnings. 
Headline earnings per share (HEPS) rose to 17.30 rand per share in the s… [+1278 chars]",South African miner Exxaro Resources on Thursday reported a 42% rise in half-year headline profit as income from equity investments offset lower core earnings.,2019-08-22T07:59:59Z,reuters,Reuters,South Africa's Exxaro buoyed by equity investments as core profit falls,https://af.reuters.com/article/investingNews/idAFKCN1VC0OI-OZABS,https://s4.reutersmedia.net/resources/r/?m=02&d=20190822&t=2&i=1421494298&w=1200&r=LYNXNPEF7L0IZ-OZABS,2019-08-22,07:59:59
36,Stephanie Nebehay,"GENEVA (Reuters) - Israeli billionaire Beny Steinmetz rejects Swiss corruption charges against him in connection with winning mining contracts in Guinea and will appear in court to fight them, his Geneva lawyer told Reuters on Tuesday. 
Geneva prosecutors’ i… [+3519 chars]","Israeli billionaire Beny Steinmetz rejects Swiss corruption charges against him in connection with winning mining contracts in Guinea and will appear in court to fight them, his Geneva lawyer told Reuters on Tuesday.",2019-08-13T13:52:03Z,reuters,Reuters,Steinmetz will fight corruption charges in Geneva court - lawyer,https://af.reuters.com/article/topNews/idAFKCN1V31C2-OZATP,https://s3.reutersmedia.net/resources/r/?m=02&d=20190813&t=2&i=1418528073&w=1200&r=LYNXNPEF7C10R-OZATP,2019-08-13,13:52:03
37,Clyde Russell,"(Repeats item with no changes. The opinions expressed here are those of the author, a columnist for Reuters.) 
* GRAPHIC: China iron ore, steel futures: tmsnrt.rs/2Yp0p6h
By Clyde Russell 
LAUNCESTON, Australia, Aug 6 (Reuters) - While iron ore has been ha… [+4085 chars]","While iron ore has been hammered by the renewed escalation of the U.S.-China trade war, there are also signs the supply crunch that sent prices to a five-year high is easing.'",2019-08-06T12:00:00Z,reuters,Reuters,RPT-COLUMN-China gets more iron ore from Brazil as supply woes fade: Russell,https://www.reuters.com/article/column-russell-ironore-china-idUSL4N2521SE,https://s4.reutersmedia.net/resources_v2/images/rcom-default.png,2019-08-06,12:00:00
38,Reuters Editorial,"(Reuters) - BHP Group (BHP.AX), the world’s biggest miner, posted a 2% rise in full-year profit helped by a windfall from higher iron ore prices, and declared a record final dividend on Tuesday. 
Iron ore prices have staged a dramatic rally this year, with t… [+1085 chars]","BHP Group , the world's biggest miner, posted a 2% rise in full-year profit helped by a windfall from higher iron ore prices, and declared a record final dividend on Tuesday.",2019-08-19T22:58:32Z,reuters,Reuters,"BHP annual profit rises on robust iron ore prices, pays record dividend",https://uk.reuters.com/article/uk-bhp-group-au-results-idUKKCN1V920R,https://s4.reutersmedia.net/resources/r/?m=02&d=20190819&t=2&i=1420664935&w=1200&r=LYNXNPEF7I1IV,2019-08-19,22:58:32
39,Reuters Editorial,"(Adds other performance metrics) 
Aug 20 (Reuters) - BHP Group, the world’s biggest miner, posted a 2% rise in full-year profit helped by a windfall from higher iron ore prices, and declared a record final dividend on Tuesday. 
Iron ore prices have staged a… [+1102 chars]",(Adds other performance metrics)',2019-08-19T22:55:59Z,reuters,Reuters,"UPDATE 1-BHP annual profit rises on robust iron ore prices, pays record dividend",https://www.reuters.com/article/bhp-group-au-results-idUSL4N25F44G,https://s4.reutersmedia.net/resources_v2/images/rcom-default.png,2019-08-19,22:55:59
40,Reuters Editorial,"(Reuters) - China’s imports of iron ore, crude, coal, copper and soybeans all rose in July from a month earlier, according to data released on Friday by China’s General Administration of Customs. 
KEY POINTS: 
* Copper: China imported 420,000 tonnes, versus… [+2288 chars]","China's imports of iron ore, crude, coal, copper and soybeans all rose in July from a month earlier, according to data released on Friday by China's General Administration of Customs.",2019-08-08T04:53:14Z,reuters,Reuters,China's July commodity imports rebound from previous month,https://uk.reuters.com/article/uk-china-economy-trade-commodities-idUKKCN1UY0CT,https://s4.reutersmedia.net/resources_v2/images/rcom-default.png,2019-08-08,04:53:14
41,Gabriela Mello,SAO PAULO (Reuters) - Brazil’s securities regulator CVM said on Monday it has opened up an additional investigation into whether executives of iron ore miner Vale SA breached their fiduciary duties in relation to a January dam collapse which killed nearly 250… [+795 chars],Brazil's securities regulator CVM said on Monday it has opened up an additional investigation into whether executives of iron ore miner Vale SA breached their fiduciary duties in relation to a January dam collapse which killed nearly 250 people.,2019-08-19T22:56:01Z,reuters,Reuters,UPDATE 2-Brazil securities regulator ramps up Vale dam disaster probe,https://uk.reuters.com/article/us-vale-disaster-investigation-idUKKCN1V91XO,https://s3.reutersmedia.net/resources/r/?m=02&d=20190819&t=2&i=1420643958&w=1200&r=LYNXNPEF7I1FO,2019-08-19,22:56:01
42,Reuters Editorial,"BEIJING, Aug 12 (Reuters) - 
* TSR 20 rubber futures rise almost 10% in their first trading session on the Shanghai International Energy Exchange (INE) on Monday. 
* The front-month contract, for delivery in Feburary 2020, surges as much as 9.9% from the 9,… [+1127 chars]",", Aug 12 (Reuters) -'",2019-08-12T02:45:09Z,reuters,Reuters,Shanghai's new rubber futures bounce on trading debut,https://www.reuters.com/article/china-derivatives-rubber-idUSL4N2580EL,https://s4.reutersmedia.net/resources_v2/images/rcom-default.png,2019-08-12,02:45:09
